epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7262,2.28348,4.38509,1.3761,0.00622,0.17785,0.0816,0.04339,1.37002,4.10491,1.00488,0.00019998,0.00019998,0.00019998
2,15.9045,1.34406,2.64477,0.95902,0.01995,0.85259,0.53719,0.3368,1.28147,3.04372,0.9209,0.000400951,0.000400951,0.000400951
3,21.0032,1.26484,1.60055,0.93606,0.98844,0.19508,0.74884,0.49077,1.22105,2.45149,0.92586,0.000593642,0.000593642,0.000593642
4,26.0012,1.20621,1.27922,0.92759,1,0.32558,0.94283,0.59798,1.25772,2.12739,0.92667,0.000778055,0.000778055,0.000778055
5,31.0161,1.12828,1.06238,0.91004,0.97723,0.55472,0.94522,0.58543,1.30195,1.70006,0.92188,0.000837007,0.000837007,0.000837007
6,36.0132,1.09009,0.96317,0.90717,0.99031,0.92555,0.99274,0.70359,1.02239,1.09501,0.87315,0.000819009,0.000819009,0.000819009
7,40.9772,1.05865,0.87624,0.89914,0.98621,0.99843,0.99187,0.71572,0.96688,0.87298,0.86503,0.000801011,0.000801011,0.000801011
8,45.9842,1.0424,0.83669,0.89357,0.99267,0.99843,0.99283,0.69495,1.03068,0.71941,0.87727,0.000783013,0.000783013,0.000783013
9,50.8784,1.03163,0.79495,0.88764,0.9933,0.99212,0.99209,0.70569,0.98961,0.68956,0.87656,0.000765014,0.000765014,0.000765014
10,55.8038,1.02683,0.77152,0.89706,0.99282,0.99801,0.99241,0.7139,0.96588,0.62936,0.86945,0.000747016,0.000747016,0.000747016
11,60.7926,1.027,0.75014,0.8927,0.99364,0.99754,0.99269,0.67951,1.07041,0.5824,0.88521,0.000729018,0.000729018,0.000729018
12,65.7113,0.99988,0.72282,0.89188,0.99516,0.99843,0.99246,0.70345,1.00681,0.55298,0.88084,0.00071102,0.00071102,0.00071102
13,70.5728,1.01394,0.71187,0.88445,0.98918,0.99843,0.99278,0.70596,1.0061,0.58564,0.883,0.000693022,0.000693022,0.000693022
14,75.5178,0.99733,0.70327,0.88879,0.99501,0.99843,0.99322,0.71639,0.97697,0.5258,0.87488,0.000675023,0.000675023,0.000675023
15,80.4279,0.99141,0.68273,0.88602,0.99559,0.99843,0.99245,0.70205,0.99246,0.5494,0.87152,0.000657025,0.000657025,0.000657025
16,85.3548,1.00533,0.6715,0.88705,0.99302,0.99843,0.99344,0.70097,1.0377,0.55287,0.87449,0.000639027,0.000639027,0.000639027
17,90.2534,1.00491,0.65859,0.88606,0.99442,0.99843,0.99224,0.70899,0.99072,0.52177,0.87912,0.000621029,0.000621029,0.000621029
18,95.2419,0.99497,0.64411,0.8875,0.99567,0.99843,0.9932,0.72991,0.94062,0.51695,0.8702,0.000603031,0.000603031,0.000603031
19,100.2,1.00929,0.65575,0.88913,0.99627,0.99843,0.99294,0.73442,0.92552,0.51834,0.86395,0.000585032,0.000585032,0.000585032
20,105.157,0.97112,0.62921,0.88286,0.99493,0.99843,0.99289,0.72554,0.95276,0.50575,0.86978,0.000567034,0.000567034,0.000567034
21,110.065,0.95704,0.61787,0.87625,0.99571,0.99843,0.99254,0.72644,0.9489,0.50431,0.86689,0.000549036,0.000549036,0.000549036
22,114.966,0.97893,0.62049,0.88275,0.99533,0.99843,0.9925,0.73391,0.92833,0.48049,0.86268,0.000531038,0.000531038,0.000531038
23,119.894,0.95574,0.61562,0.87904,0.99596,0.99843,0.99315,0.72325,0.95427,0.48456,0.86422,0.00051304,0.00051304,0.00051304
24,124.818,0.96416,0.60816,0.87298,0.99653,0.99837,0.99357,0.72876,0.93408,0.48283,0.86485,0.000495041,0.000495041,0.000495041
25,129.692,0.95488,0.59171,0.87131,0.99674,0.99843,0.99243,0.73476,0.93137,0.46662,0.86243,0.000477043,0.000477043,0.000477043
26,134.669,0.95984,0.58045,0.86964,0.99622,0.99843,0.99241,0.73683,0.92725,0.47252,0.86256,0.000459045,0.000459045,0.000459045
27,139.602,0.94746,0.57759,0.87341,0.99642,0.99843,0.99241,0.7371,0.92131,0.47365,0.85912,0.000441047,0.000441047,0.000441047
28,144.522,0.94513,0.57222,0.87939,0.99592,0.99843,0.99242,0.74087,0.90569,0.44627,0.85878,0.000423049,0.000423049,0.000423049
29,149.492,0.94773,0.56814,0.87934,0.99669,0.99843,0.9935,0.72549,0.95381,0.4551,0.86333,0.00040505,0.00040505,0.00040505
30,154.343,0.93851,0.57011,0.87602,0.99664,0.99843,0.99244,0.72752,0.93793,0.4796,0.86404,0.000387052,0.000387052,0.000387052
31,159.296,0.94601,0.56764,0.87377,0.99657,0.99843,0.9925,0.72627,0.93203,0.46809,0.86353,0.000369054,0.000369054,0.000369054
32,164.216,0.93701,0.56624,0.87912,0.9962,0.99843,0.99233,0.73272,0.92086,0.45272,0.86045,0.000351056,0.000351056,0.000351056
33,169.079,0.94559,0.55915,0.8769,0.9972,0.99843,0.99245,0.73456,0.90995,0.43526,0.85968,0.000333058,0.000333058,0.000333058
34,174.025,0.93082,0.5497,0.87268,0.99673,0.99843,0.99258,0.73616,0.92105,0.44004,0.86098,0.000315059,0.000315059,0.000315059
35,178.959,0.94034,0.55005,0.87394,0.99692,0.99843,0.99302,0.73136,0.93585,0.44456,0.86089,0.000297061,0.000297061,0.000297061
36,183.84,0.93303,0.54216,0.87501,0.99731,0.99843,0.99338,0.74148,0.91196,0.43663,0.8587,0.000279063,0.000279063,0.000279063
37,188.787,0.92654,0.53888,0.87212,0.99681,0.99843,0.99284,0.73705,0.90804,0.43364,0.85763,0.000261065,0.000261065,0.000261065
38,193.682,0.9169,0.53767,0.86949,0.99577,0.99843,0.99253,0.73969,0.90349,0.43525,0.85774,0.000243067,0.000243067,0.000243067
39,198.579,0.92312,0.53439,0.86551,0.99728,0.99843,0.99306,0.74786,0.89486,0.42967,0.85507,0.000225068,0.000225068,0.000225068
40,203.487,0.92355,0.52449,0.87261,0.99608,0.99843,0.99321,0.74676,0.90068,0.43172,0.85687,0.00020707,0.00020707,0.00020707
41,210.059,0.92641,0.54976,0.87676,0.99397,0.99843,0.99265,0.74014,0.9083,0.43712,0.85627,0.000189072,0.000189072,0.000189072
42,214.994,0.91869,0.5412,0.87402,0.99663,0.99843,0.99262,0.7408,0.90728,0.43149,0.85792,0.000171074,0.000171074,0.000171074
43,219.82,0.92254,0.53995,0.87717,0.99666,0.99843,0.99367,0.74671,0.90576,0.42906,0.8566,0.000153076,0.000153076,0.000153076
44,224.686,0.91082,0.53618,0.87525,0.99701,0.99843,0.99281,0.74325,0.89851,0.42167,0.85451,0.000135077,0.000135077,0.000135077
45,229.583,0.90791,0.52595,0.87303,0.99623,0.99843,0.99329,0.74385,0.89399,0.41848,0.85391,0.000117079,0.000117079,0.000117079
46,234.39,0.91312,0.51978,0.87707,0.99673,0.99843,0.99331,0.7438,0.89157,0.41407,0.85387,9.9081e-05,9.9081e-05,9.9081e-05
47,239.232,0.91356,0.51407,0.87405,0.99697,0.99843,0.99319,0.7368,0.90579,0.41909,0.8547,8.10828e-05,8.10828e-05,8.10828e-05
48,244.075,0.91182,0.51381,0.87375,0.99706,0.99843,0.99335,0.74532,0.89848,0.41542,0.85393,6.30846e-05,6.30846e-05,6.30846e-05
49,248.94,0.89797,0.51138,0.86975,0.99681,0.99843,0.99334,0.74566,0.89213,0.40997,0.85354,4.50864e-05,4.50864e-05,4.50864e-05
50,253.825,0.8962,0.50635,0.8664,0.99695,0.99843,0.99323,0.74636,0.89045,0.40723,0.8532,2.70882e-05,2.70882e-05,2.70882e-05
